id,class,UTR5len,CDSlen,UTR3len,t_inter_range,q_inter_range,energy,suboptts,suboptqs,suboptes
NC_012932.1,ISFV,96,10026,942,"(84, 89)","(117, 122)",-5.55,"([(70, 74)], [(70, 74)])","([(30, 34)], [(30, 34)])","([-4.82], [-4.82])"
NC_001564.2,ISFV,103,10026,553,"(40, 48)","(323, 331)",-10.57,"([(71, 89)], [(71, 89)])","([(232, 250)], [(232, 250)])","([-6.71], [-6.71])"
NC_030290.1,ISFV,91,10191,582,"(40, 49)","(572, 582)",-6.79,"([(-77, -72)], [(-77, -72)])","([(566, 571)], [(566, 571)])","([-2.86], [-2.86])"
NC_040682.1,ISFV,343,9825,112,"(-107, -95)","(100, 112)",-8.0,"([(25, 37)], [(25, 37)])","([(-2, 11)], [(-2, 11)])","([-6.04], [-6.04])"
NC_040645.1,ISFV,146,10020,443,"(-48, -33)","(151, 167)",-5.31,"([(-42, -37)], [(-133, -127)])","([(-18, -13)], [(36, 42)])","([-4.62], [-3.79])"
NC_008604.2,ISFV,91,10092,654,"(30, 38)","(107, 115)",-9.9,"([(30, 37)], [(87, 91)])","([(-31, -23)], [(563, 567)])","([-5.66], [-4.67])"
NC_035118.1,ISFV,115,10029,502,"(31, 40)","(86, 94)",-6.39,"([(-90, -81)], [(-90, -81)])","([(133, 142)], [(133, 142)])","([-3.66], [-3.66])"
NC_005064.1,ISFV,96,10074,1205,"(8, 18)","(121, 129)",-5.05,"([(20, 27)], [(20, 27)])","([(84, 90)], [(84, 90)])","([-4.54], [-4.54])"
NC_027819.1,ISFV,88,10212,638,"(43, 52)","(457, 467)",-8.57,"([(2, 20)], [(2, 20)])","([(325, 340)], [(325, 340)])","([-4.17], [-4.17])"
NC_021069.1,ISFV,111,10080,674,"(18, 32)","(348, 359)",-4.79,"([(45, 52)], [(45, 52)])","([(546, 553)], [(546, 553)])","([-4.19], [-4.19])"
NC_024299.2,ISFV,98,10071,709,"(28, 37)","(514, 523)",-4.61,"([(25, 36)], [(41, 46)])","([(-31, -19)], [(156, 161)])","([-4.14], [-4.05])"
NC_034242.1,ISFV,64,10158,148,"(30, 48)","(35, 53)",-4.19,"([(53, 63)], [(53, 63)])","([(55, 64)], [(55, 64)])","([-3.71], [-3.71])"
NC_027817.1,ISFV,109,10155,629,"(-23, -8)","(-30, -18)",-5.78,"([(-64, -59)], [(-64, -59)])","([(-11, -6)], [(-11, -6)])","([-2.83], [-2.83])"
NC_012671.1,ISFV,112,10080,673,"(15, 32)","(346, 361)",-9.28,"([(-7, 3)], [(-7, 3)])","([(234, 243)], [(234, 243)])","([-3.71], [-3.71])"
NC_034017.1,ISFV,90,10245,549,"(-76, -59)","(156, 173)",-8.96,"([(-48, -42)], [(-48, -42)])","([(507, 513)], [(507, 513)])","([-3.17], [-3.17])"
NC_017086.1,ISFV,99,10308,326,"(38, 48)","(213, 223)",-8.93,"([(55, 60)], [(55, 60)])","([(279, 284)], [(279, 284)])","([-4.25], [-4.25])"
NC_016997.1,ISFV,113,10335,343,"(46, 57)","(230, 241)",-9.12,"([(24, 29)], [(24, 29)])","([(284, 289)], [(284, 289)])","([-1.64], [-1.64])"
NC_027999.1,ISFV,119,10326,316,"(43, 55)","(202, 214)",-10.61,"([(96, 100)], [(96, 100)])","([(176, 180)], [(176, 180)])","([-1.79], [-1.79])"
NC_040610.1,ISFV,106,10299,399,"(39, 49)","(282, 292)",-7.49,"([(34, 42)], [(-24, -20)])","([(298, 306)], [(374, 378)])","([-4.16], [-0.97])"
NC_024017.1,ISFV,102,10338,451,"(39, 51)","(331, 343)",-5.5,"([(-86, -81)], [(-86, -81)])","([(124, 129)], [(124, 129)])","([-3.35], [-3.35])"
NC_033715.1,ISFV,79,10329,347,"(49, 55)","(331, 338)",-2.73,"([], [])","([], [])","([], [])"
NC_009026.2,MBFV,104,10290,421,"(33, 50)","(316, 332)",-8.96,"([(70, 74)], [(70, 74)])","([(350, 354)], [(350, 354)])","([-0.07], [-0.07])"
NC_001477.1,MBFV,94,10179,462,"(38, 48)","(357, 367)",-7.57,"([(86, 90)], [(86, 90)])","([(423, 427)], [(423, 427)])","([-0.4], [-0.4])"
NC_001474.2,MBFV,96,10176,451,"(38, 48)","(346, 356)",-7.75,"([(74, 79)], [(74, 79)])","([(404, 409)], [(404, 409)])","([-3.27], [-3.27])"
NC_001475.2,MBFV,94,10173,440,"(38, 48)","(335, 345)",-8.29,"([(66, 78)], [(66, 78)])","([(388, 397)], [(388, 397)])","([-0.47], [-0.47])"
NC_002640.1,MBFV,101,10164,384,"(35, 45)","(279, 289)",-7.5,"([(-10, -6)], [(-10, -6)])","([(340, 344)], [(340, 344)])","([-3.88], [-3.88])"
NC_012533.1,MBFV,106,10227,390,"(35, 45)","(281, 291)",-10.06,"([(89, 93)], [(89, 93)])","([(247, 251)], [(247, 251)])","([-2.24], [-2.24])"
NC_001437.1,MBFV,95,10299,582,"(41, 51)","(469, 479)",-7.44,"([(48, 52)], [(96, 100)])","([(522, 526)], [(526, 530)])","([-3.36], [-0.31])"
